"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"28","-","-","0","0","","v Sri Lanka","Jaipur","31 Oct 2005"
"63","-","-","0","0","","v Sri Lanka","Pune","3 Nov 2005"
"103*","-","-","0","0","","v Sri Lanka","Ahmedabad","6 Nov 2005"
"31*","-","-","1","0","","v Sri Lanka","Vadodara","12 Nov 2005"
"8","-","-","2","0","","v South Africa","Hyderabad (Deccan)","16 Nov 2005"
"10","-","-","0","0","","v South Africa","Bengaluru","19 Nov 2005"
"6","-","-","0","0","","v South Africa","Kolkata","25 Nov 2005"
"78*","-","-","0","0","","v South Africa","Mumbai","28 Nov 2005"
"18","-","-","2","0","","v Pakistan","Peshawar","6 Feb 2006"
"56","-","-","0","0","","v Pakistan","Rawalpindi","11 Feb 2006"
"22","-","-","1","0","","v Pakistan","Lahore","13 Feb 2006"
"59","-","-","1","0","","v Pakistan","Multan","16 Feb 2006"
"50","-","-","1","0","","v Pakistan","Karachi","19 Feb 2006"
"34","-","-","0","0","","v England","Delhi","28 Mar 2006"
"5","-","-","1","0","","v England","Faridabad","31 Mar 2006"
"46","-","-","0","0","","v England","Margao","3 Apr 2006"
"65","-","-","1","0","","v England","Kochi","6 Apr 2006"
"69","-","-","0","0","","v England","Indore","15 Apr 2006"
"20","-","-","1","0","","v Pakistan","Abu Dhabi","18 Apr 2006"
"92","-","-","1","0","","v Pakistan","Abu Dhabi","19 Apr 2006"
"105","-","-","1","0","","v West Indies","Kingston","18 May 2006"
"11","-","-","1","0","","v West Indies","Kingston","20 May 2006"
"0","-","-","1","0","","v West Indies","Basseterre","23 May 2006"
"15","-","-","0","0","","v West Indies","Port of Spain","26 May 2006"
"18","-","-","0","0","","v West Indies","Port of Spain","28 May 2006"
"9*","-","-","-","-","","v Sri Lanka","Colombo (SSC)","18 Aug 2006"
"26","-","-","0","0","","v West Indies","Kuala Lumpur","14 Sep 2006"
"6","-","-","1","0","","v Australia","Kuala Lumpur","16 Sep 2006"
"0","-","-","1","0","","v West Indies","Kuala Lumpur","20 Sep 2006"
"7","-","-","1","0","","v Australia","Kuala Lumpur","22 Sep 2006"
"4","-","-","2","0","","v England","Jaipur","15 Oct 2006"
"49","-","-","1","0","","v West Indies","Ahmedabad","26 Oct 2006"
"52","-","-","0","0","","v Australia","Mohali","29 Oct 2006"
"18","-","-","0","0","","v South Africa","Durban","22 Nov 2006"
"63","-","-","0","0","","v South Africa","Cape Town","26 Nov 2006"
"54*","-","-","1","0","","v West Indies","Nagpur","21 Jan 2007"
"22","-","-","0","0","","v West Indies","Cuttack","24 Jan 2007"
"57","-","-","1","0","","v West Indies","Chennai","27 Jan 2007"
"78","-","-","0","0","","v West Indies","Vadodara","31 Jan 2007"
"TDNB","-","-","1","0","","v Sri Lanka","Kolkata","8 Feb 2007"
"5","-","-","0","0","","v Sri Lanka","Rajkot","11 Feb 2007"
"66","-","-","0","0","","v Sri Lanka","Margao","14 Feb 2007"
"DNB","-","-","0","0","","v Sri Lanka","Visakhapatnam","17 Feb 2007"
"14","-","-","0","0","","v Bangladesh","Port of Spain","17 Mar 2007"
