"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"80","-","-","2","0","","v Zimbabwe","Ahmedabad","10 Oct 2006"
"DNB","-","-","2","0","","v West Indies","Mumbai (BS)","14 Oct 2006"
"39","-","-","2","0","","v Pakistan","Jaipur","17 Oct 2006"
"19*","-","-","2","0","","v New Zealand","Mumbai (BS)","20 Oct 2006"
"0","-","-","2","1","","v South Africa","Ahmedabad","24 Oct 2006"
"36","-","-","2","0","","v New Zealand","Napier","28 Dec 2006"
"89","-","-","0","0","","v New Zealand","Queenstown","31 Dec 2006"
"15","-","-","1","0","","v New Zealand","Christchurch","2 Jan 2007"
"79","-","-","2","0","","v New Zealand","Auckland","6 Jan 2007"
"TDNB","-","-","-","-","","v New Zealand","Hamilton","9 Jan 2007"
"12","-","-","-","-","","v India","Kolkata","8 Feb 2007"
"110","-","-","2","1","","v India","Rajkot","11 Feb 2007"
"0","-","-","0","0","","v India","Margao","14 Feb 2007"
"1","-","-","0","0","","v India","Visakhapatnam","17 Feb 2007"
"76","-","-","3","0","","v Bermuda","Port of Spain","15 Mar 2007"
"56","-","-","2","0","","v Bangladesh","Port of Spain","21 Mar 2007"
"15","-","-","0","0","","v India","Port of Spain","23 Mar 2007"
"28","-","-","1","2","","v South Africa","Providence","28 Mar 2007"
"7","-","-","0","2","","v West Indies","Providence","1 Apr 2007"
"17","-","-","1","0","","v England","North Sound","4 Apr 2007"
"69*","-","-","1","0","","v New Zealand","St George's","12 Apr 2007"
"0","-","-","0","0","","v Australia","St George's","16 Apr 2007"
"10","-","-","3","0","","v Ireland","St George's","18 Apr 2007"
"18","-","-","0","0","","v New Zealand","Kingston","24 Apr 2007"
"54","-","-","0","0","","v Australia","Bridgetown","28 Apr 2007"
"16","-","-","1","0","","v Bangladesh","Colombo (PSS)","20 Jul 2007"
"6","-","-","2","0","","v Bangladesh","Colombo (RPS)","23 Jul 2007"
"18","-","-","3","0","","v Bangladesh","Colombo (RPS)","25 Jul 2007"
"38","-","-","3","1","","v England","Dambulla","1 Oct 2007"
"9","-","-","0","0","","v England","Dambulla","4 Oct 2007"
"9","-","-","1","0","","v England","Dambulla","7 Oct 2007"
"69","-","-","0","0","","v England","Colombo (RPS)","10 Oct 2007"
"26","-","-","4","0","","v England","Colombo (RPS)","13 Oct 2007"
"TDNB","-","-","2","0","","v India","Brisbane","5 Feb 2008"
"42","-","-","0","0","","v Australia","Sydney","8 Feb 2008"
"10","-","-","0","0","","v India","Canberra","12 Feb 2008"
"80","-","-","1","1","","v Australia","Perth","15 Feb 2008"
"128","-","-","1","0","","v India","Adelaide","19 Feb 2008"
"22","-","-","1","1","","v Australia","Melbourne","22 Feb 2008"
"33","-","-","0","0","","v India","Hobart","26 Feb 2008"
"11","-","-","1","0","","v Australia","Melbourne","29 Feb 2008"
"23","-","-","1","0","","v West Indies","Port of Spain","10 Apr 2008"
"28","-","-","0","0","","v West Indies","Port of Spain","12 Apr 2008"
"1","-","-","2","0","","v West Indies","Gros Islet","15 Apr 2008"
"101","-","-","2","1","","v Bangladesh","Lahore","25 Jun 2008"
"0","-","-","2","1","","v U.A.E.","Lahore","26 Jun 2008"
"112","-","-","0","1","","v Pakistan","Karachi","29 Jun 2008"
"121","-","-","0","0","","v Bangladesh","Karachi","30 Jun 2008"
"7","-","-","0","0","","v India","Karachi","3 Jul 2008"
"4","-","-","1","1","","v India","Karachi","6 Jul 2008"
"19","-","-","1","0","","v India","Dambulla","18 Aug 2008"
"2","-","-","1","0","","v India","Dambulla","20 Aug 2008"
"9","-","-","1","0","","v India","Colombo (RPS)","24 Aug 2008"
"6","-","-","0","0","","v India","Colombo (RPS)","27 Aug 2008"
"1","-","-","1","0","","v India","Colombo (RPS)","29 Aug 2008"
"46*","-","-","0","1","","v Zimbabwe","Harare","20 Nov 2008"
"28*","-","-","3","0","","v Zimbabwe","Harare","22 Nov 2008"
"57","-","-","1","1","","v Zimbabwe","Harare","24 Nov 2008"
