Bat1,Wkts,Conc,Ct,St,,Opposition,Ground,Start Date
37,-,-,1,0,,v Sri Lanka,Bridgetown,28-Apr-07
25,-,-,0,0,,v India,Hyderabad (Deccan),05-Oct-07
29,-,-,1,0,,v India,Chandigarh,08-Oct-07
39*,-,-,0,0,,v India,Vadodara,11-Oct-07
49,-,-,1,0,,v India,Nagpur,14-Oct-07
57,-,-,1,0,,v India,Mumbai,17-Oct-07
107*,-,-,0,0,,v New Zealand,Adelaide,14-Dec-07
TDNB,-,-,1,0,,v New Zealand,Sydney,16-Dec-07
134*,-,-,0,0,,v New Zealand,Hobart,20-Dec-07
0,-,-,1,0,,v India,Brisbane,03-Feb-08
9,-,-,0,0,,v Sri Lanka,Sydney,08-Feb-08
9,-,-,0,0,,v India,Melbourne,10-Feb-08
25,-,-,1,0,,v Sri Lanka,Perth,15-Feb-08
10,-,-,1,0,,v India,Adelaide,17-Feb-08
11,-,-,1,0,,v Sri Lanka,Melbourne,22-Feb-08
124,-,-,0,0,,v India,Sydney,24-Feb-08
1,-,-,0,0,,v Sri Lanka,Melbourne,29-Feb-08
1,-,-,0,0,,v India,Sydney,02-Mar-08
1,-,-,2,0,,v India,Brisbane,04-Mar-08
5,-,-,0,0,,v West Indies,Kingstown,24-Jun-08
13,-,-,1,0,,v West Indies,St George's,27-Jun-08
69,-,-,0,0,,v West Indies,St George's,29-Jun-08
46,-,-,1,0,,v South Africa,Melbourne,16-Jan-09
64,-,-,0,0,,v South Africa,Hobart,18-Jan-09
29,-,-,0,0,,v South Africa,Sydney,23-Jan-09
63,-,-,0,0,,v South Africa,Adelaide,26-Jan-09
12,-,-,0,0,,v South Africa,Perth,30-Jan-09
5,-,-,0,0,,v New Zealand,Perth,01-Feb-09
16,-,-,1,0,,v New Zealand,Sydney,08-Feb-09
15,-,-,0,0,,v New Zealand,Adelaide,10-Feb-09
2,-,-,0,0,,v New Zealand,Brisbane,13-Feb-09
37,-,-,0,0,,v South Africa,Durban,03-Apr-09
8,-,-,0,0,,v South Africa,Centurion,05-Apr-09
20,-,-,0,0,,v South Africa,Cape Town,09-Apr-09
53,-,-,0,0,,v South Africa,Port Elizabeth,13-Apr-09
40,-,-,0,0,,v South Africa,Johannesburg,17-Apr-09
48,-,-,0,0,,v England,Lord's,12-Sep-09
126,-,-,0,0,,v England,Nottingham,15-Sep-09
6,-,-,0,0,,v England,Nottingham,17-Sep-09
53,-,-,1,0,,v England,Chester-le-Street,20-Sep-09
79,-,-,1,0,,v West Indies,Johannesburg,26-Sep-09
65,-,-,-,-,,v India,Centurion,28-Sep-09
32,-,-,1,0,,v Pakistan,Centurion,30-Sep-09
111*,-,-,0,0,,v England,Centurion,02-Oct-09
1,-,-,0,0,,v New Zealand,Centurion,05-Oct-09
74,-,-,1,0,,v India,Vadodara,25-Oct-09
12,-,-,0,0,,v India,Nagpur,28-Oct-09
59,-,-,0,0,,v India,Delhi,31-Oct-09
52,-,-,0,0,,v India,Mohali,02-Nov-09
45,-,-,0,0,,v India,Hyderabad (Deccan),05-Nov-09
25,-,-,0,0,,v India,Guwahati,08-Nov-09
27,-,-,0,0,,v Pakistan,Brisbane,22-Jan-10
13,-,-,1,0,,v Pakistan,Sydney,24-Jan-10
0,-,-,0,0,,v Pakistan,Adelaide,26-Jan-10
30,-,-,0,0,,v Pakistan,Perth,29-Jan-10
55,-,-,1,0,,v Pakistan,Perth,31-Jan-10
49,-,-,1,0,,v West Indies,Melbourne,07-Feb-10
57*,-,-,0,0,,v West Indies,Adelaide,09-Feb-10
22,-,-,0,0,,v West Indies,Sydney,12-Feb-10
106,-,-,0,0,,v West Indies,Brisbane,14-Feb-10
61,-,-,0,0,,v West Indies,Melbourne,19-Feb-10
44,-,-,0,0,,v New Zealand,Napier,03-Mar-10
1,-,-,1,0,,v New Zealand,Auckland,06-Mar-10
69,-,-,0,0,,v New Zealand,Hamilton,09-Mar-10
50,-,-,1,0,,v New Zealand,Auckland,11-Mar-10
0,-,-,2,0,,v New Zealand,Wellington,13-Mar-10
33,-,-,1,0,,v Ireland,Dublin,17-Jun-10
21,-,-,1,0,,v England,Southampton,22-Jun-10
13,-,-,1,0,,v England,Cardiff,24-Jun-10
3,-,-,1,0,,v England,Manchester,27-Jun-10
92,-,-,0,0,,v England,The Oval,30-Jun-10
15,-,-,0,0,,v England,Lord's,03-Jul-10
10,-,-,0,0,,v Sri Lanka,Sydney,05-Nov-10
28,-,-,1,0,,v Zimbabwe,Ahmedabad,21-Feb-11
12,-,-,1,0,,v New Zealand,Nagpur,25-Feb-11
TDNB,-,-,0,0,,v Sri Lanka,Colombo (RPS),05-Mar-11
36,-,-,0,0,,v Kenya,Bengaluru,13-Mar-11
7,-,-,1,0,,v Canada,Bengaluru,16-Mar-11
19,-,-,0,0,,v Pakistan,Colombo (RPS),19-Mar-11
104,-,-,0,0,,v India,Ahmedabad,24-Mar-11
34,-,-,0,0,,v Bangladesh,Dhaka,09-Apr-11
37*,-,-,0,0,,v Bangladesh,Dhaka,11-Apr-11
47,-,-,0,0,,v Bangladesh,Dhaka,13-Apr-11
53,-,-,0,0,,v Sri Lanka,Pallekele,10-Aug-11
90*,-,-,1,0,,v Sri Lanka,Hambantota,14-Aug-11
22,-,-,0,0,,v Sri Lanka,Hambantota,16-Aug-11
0,-,-,0,0,,v Sri Lanka,Colombo (RPS),20-Aug-11
31,-,-,0,0,,v Sri Lanka,Colombo (RPS),22-Aug-11
63,-,-,0,0,,v South Africa,Centurion,19-Oct-11
10,-,-,0,0,,v South Africa,Port Elizabeth,23-Oct-11
11,-,-,1,0,,v South Africa,Durban,28-Oct-11
2,-,-,2,0,,v India,Melbourne,05-Feb-12
1,-,-,0,0,,v Sri Lanka,Perth,10-Feb-12
6,-,-,1,0,,v India,Adelaide,12-Feb-12
2,-,-,0,0,,v Sri Lanka,Sydney,17-Feb-12
7,-,-,0,0,,v India,Brisbane,19-Feb-12
