"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"23*","0","6","0","0","","v Bangladesh","Colombo (RPS)","2 Sep 2005"
"DNB","-","-","0","0","","v Bangladesh","Colombo (RPS)","4 Sep 2005"
"17","-","-","2","0","","v India","Nagpur","25 Oct 2005"
"7","-","-","0","0","","v India","Mohali","28 Oct 2005"
"71","-","-","0","0","","v India","Jaipur","31 Oct 2005"
"37","-","-","1","0","","v India","Ahmedabad","6 Nov 2005"
"14","-","-","0","0","","v India","Rajkot","9 Nov 2005"
"20","-","-","1","0","","v India","Vadodara","12 Nov 2005"
"1","-","-","0","0","","v New Zealand","Queenstown","31 Dec 2005"
"6","-","-","1","0","","v New Zealand","Christchurch","3 Jan 2006"
"12","-","-","0","0","","v New Zealand","Wellington","6 Jan 2006"
"30","-","-","0","0","","v New Zealand","Napier","8 Jan 2006"
"50","-","-","0","0","","v Australia","Melbourne (Docklands)","13 Jan 2006"
"14","-","-","0","0","","v South Africa","Brisbane","17 Jan 2006"
"56","-","-","0","0","","v Australia","Sydney","22 Jan 2006"
"52","-","-","0","0","","v South Africa","Adelaide","24 Jan 2006"
"25","-","-","0","0","","v Australia","Adelaide","26 Jan 2006"
"69","-","-","1","0","","v Australia","Perth","29 Jan 2006"
"1","-","-","0","0","","v South Africa","Perth","31 Jan 2006"
"11","-","-","0","0","","v South Africa","Hobart","7 Feb 2006"
"11","-","-","0","0","","v Australia","Adelaide","10 Feb 2006"
"50","-","-","1","0","","v Australia","Sydney","12 Feb 2006"
"86","0","15","0","0","","v Australia","Brisbane","14 Feb 2006"
"37*","-","-","1","0","","v Bangladesh","Bogra","20 Feb 2006"
"5","-","-","0","0","","v Bangladesh","Bogra","22 Feb 2006"
"51","-","-","2","0","","v Bangladesh","Chattogram","25 Feb 2006"
"TDNB","-","-","0","0","","v Pakistan","Colombo (RPS)","17 Mar 2006"
"0","-","-","1","0","","v Pakistan","Colombo (RPS)","19 Mar 2006"
"31","-","-","0","0","","v Pakistan","Colombo (SSC)","22 Mar 2006"
"24","-","-","1","0","","v England","Lord's","17 Jun 2006"
"66","-","-","0","0","","v England","The Oval","20 Jun 2006"
