"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"9","-","-","0","0","","v Zimbabwe","Bulawayo","27 Jun 2001"
"70*","-","-","0","0","","v Zimbabwe","Harare","24 Jun 2001"
"12","3","35","0","0","","v Australia","Margao","6 Apr 2001"
"62","0","12","1","0","","v Australia","Visakhapatnam","3 Apr 2001"
"139","-","-","1","0","","v Australia","Indore","31 Mar 2001"
"32","0","59","0","0","","v Australia","Pune","28 Mar 2001"
"35","-","-","0","0","","v Australia","Bengaluru","25 Mar 2001"
"27","-","-","0","0","","v Zimbabwe","Rajkot","14 Dec 2000"
"62","-","-","0","0","","v Zimbabwe","Kanpur","11 Dec 2000"
"146","1","35","0","0","","v Zimbabwe","Jodhpur","8 Dec 2000"
"8","1","53","0","0","","v Zimbabwe","Ahmedabad","5 Dec 2000"
"44","1","22","1","0","","v Zimbabwe","Cuttack","2 Dec 2000"
"5","1","28","0","0","","v Sri Lanka","Sharjah","29 Oct 2000"
"61","0","21","0","0","","v Sri Lanka","Sharjah","27 Oct 2000"
"4","0","16","0","0","","v Zimbabwe","Sharjah","26 Oct 2000"
"8","1","46","0","0","","v Zimbabwe","Sharjah","22 Oct 2000"
"101","0","22","0","0","","v Sri Lanka","Sharjah","20 Oct 2000"
"69","1","38","0","0","","v New Zealand","Nairobi (Gym)","15 Oct 2000"
"39","2","32","1","0","","v South Africa","Nairobi (Gym)","13 Oct 2000"
"38","1","31","0","0","","v Australia","Nairobi (Gym)","7 Oct 2000"
"25","0","25","0","0","","v Kenya","Nairobi (Gym)","3 Oct 2000"
"25","0","41","1","0","","v Pakistan","Dhaka","3 Jun 2000"
"93","2","44","0","0","","v Sri Lanka","Dhaka","1 Jun 2000"
"36","2","24","0","0","","v Bangladesh","Dhaka","30 May 2000"
"39","0","3","0","0","","v South Africa","Sharjah","27 Mar 2000"
"10","0","11","0","0","","v Pakistan","Sharjah","26 Mar 2000"
"11","0","21","0","0","","v Pakistan","Sharjah","23 Mar 2000"
"5","0","32","0","0","","v South Africa","Sharjah","22 Mar 2000"
"93","1","31","0","0","","v South Africa","Nagpur","19 Mar 2000"
"122","0","43","0","0","","v South Africa","Vadodara","17 Mar 2000"
"12","4","56","1","0","","v South Africa","Faridabad","15 Mar 2000"
"21","1","39","0","0","","v South Africa","Jamshedpur","12 Mar 2000"
"26","0","44","0","0","","v South Africa","Kochi","9 Mar 2000"
"3","-","-","1","0","","v Australia","Perth","30 Jan 2000"
"17","-","-","2","0","","v Pakistan","Perth","28 Jan 2000"
"18","1","48","0","0","","v Australia","Adelaide","26 Jan 2000"
"41","-","-","1","0","","v Pakistan","Adelaide","25 Jan 2000"
"93","0","6","1","0","","v Pakistan","Hobart","21 Jan 2000"
"1","-","-","0","0","","v Australia","Sydney","14 Jan 2000"
"12","0","23","2","0","","v Australia","Melbourne","12 Jan 2000"
"13","-","-","0","0","","v Pakistan","Brisbane","10 Jan 2000"
"0","-","-","0","0","","v New Zealand","Delhi","17 Nov 1999"
"2","-","-","0","0","","v New Zealand","Guwahati","14 Nov 1999"
"1","-","-","0","0","","v New Zealand","Gwalior","11 Nov 1999"
