"Bat1","Bat2","Runs","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"5","31","36","-","-","0","0","","v Sri Lanka","Galle","31 Jul 2008"
"27","12","39","-","-","0","0","","v Sri Lanka","Colombo (SSC)","23 Jul 2008"
"0","-","0","-","-","0","0","","v South Africa","Chennai","26 Mar 2008"
"153","13","166","0","6","0","0","","v Australia","Adelaide","24 Jan 2008"
"71","13","84","-","-","0","0","","v Australia","Perth","16 Jan 2008"
"154*","12","166","0","20","3","0","","v Australia","Sydney","2 Jan 2008"
"62","15","77","0","4","2","0","","v Australia","Melbourne","26 Dec 2007"
"82","DNB","82","0","39","0","0","","v Pakistan","Kolkata","30 Nov 2007"
"1","56*","57","0","8","0","0","","v Pakistan","Delhi","22 Nov 2007"
"82","1","83","1","104","1","0","","v England","The Oval","9 Aug 2007"
"91","1","92","0","38","2","0","","v England","Nottingham","27 Jul 2007"
"37","16","53","0","10","1","0","","v England","Lord's","19 Jul 2007"
"122*","-","122","2","35","2","0","","v Bangladesh","Dhaka","25 May 2007"
"101","31","132","1","22","2","0","","v Bangladesh","Chattogram","18 May 2007"
"64","14","78","1","33","0","0","","v South Africa","Cape Town","2 Jan 2007"
"63","0","63","-","-","2","0","","v South Africa","Durban","26 Dec 2006"
"44","14","58","-","-","1","0","","v South Africa","Johannesburg","15 Dec 2006"
"1","34","35","-","-","1","0","","v England","Mumbai","18 Mar 2006"
"4","DNB","4","-","-","0","0","","v England","Mohali","9 Mar 2006"
"16","28*","44","0","11","0","0","","v England","Nagpur","1 Mar 2006"
"23","26","49","0","40","3","0","","v Pakistan","Karachi","29 Jan 2006"
"14","DNB","14","-","-","1","0","","v Pakistan","Faisalabad","21 Jan 2006"
"DNB","-","-","0","16","0","0","","v Pakistan","Lahore","13 Jan 2006"
"23","19","42","0","13","0","0","","v Sri Lanka","Ahmedabad","18 Dec 2005"
"109","16","125","0","6","0","0","","v Sri Lanka","Delhi","10 Dec 2005"
"22","-","22","-","-","0","0","","v Sri Lanka","Chennai","2 Dec 2005"
"41","16","57","1","76","0","0","","v Pakistan","Bengaluru","24 Mar 2005"
"52","52","104","-","-","2","0","","v Pakistan","Kolkata","16 Mar 2005"
"94","DNB","94","0","30","0","0","","v Pakistan","Mohali","8 Mar 2005"
"36","-","36","1","39","0","0","","v Bangladesh","Chattogram","17 Dec 2004"
"248*","-","248","-","-","2","0","","v Bangladesh","Dhaka","10 Dec 2004"
"20","32*","52","0","8","0","0","","v South Africa","Kolkata","28 Nov 2004"
"3","-","3","0","54","0","0","","v South Africa","Kanpur","20 Nov 2004"
"5","55","60","-","-","1","0","","v Australia","Mumbai","3 Nov 2004"
"8","2","10","0","41","0","0","","v Australia","Nagpur","26 Oct 2004"
"1","-","1","1","1","0","0","","v Pakistan","Rawalpindi","13 Apr 2004"
"2","8","10","1","38","0","0","","v Pakistan","Lahore","5 Apr 2004"
"194*","-","194","2","59","1","0","","v Pakistan","Multan","28 Mar 2004"
"241*","60*","301","0","36","1","0","","v Australia","Sydney","2 Jan 2004"
"0","44","44","1","57","2","0","","v Australia","Melbourne","26 Dec 2003"
"1","37","38","2","39","0","0","","v Australia","Adelaide","12 Dec 2003"
"0","DNB","0","0","9","0","0","","v Australia","Brisbane","4 Dec 2003"
"55","1","56","1","55","0","0","","v New Zealand","Mohali","16 Oct 2003"
"8","7","15","0","45","0","0","","v New Zealand","Ahmedabad","8 Oct 2003"
"9","32","41","-","-","1","0","","v New Zealand","Hamilton","19 Dec 2002"
"8","51","59","-","-","0","0","","v New Zealand","Wellington","12 Dec 2002"
"36","176","212","0","33","0","0","","v West Indies","Kolkata","30 Oct 2002"
"43","16*","59","-","-","1","0","","v West Indies","Chennai","17 Oct 2002"
"35","-","35","0","2","1","0","","v West Indies","Mumbai","9 Oct 2002"
"54","-","54","0","4","0","0","","v England","The Oval","5 Sep 2002"
"193","-","193","-","-","0","0","","v England","Leeds","22 Aug 2002"
"34","92","126","0","15","0","0","","v England","Nottingham","8 Aug 2002"
"16","12","28","0","14","1","0","","v England","Lord's","25 Jul 2002"
"41","86","127","-","-","0","0","","v West Indies","Kingston","18 May 2002"
