"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"32","-","-","0","0","","v South Africa","Bridgetown","11 May 2005"
"22","-","-","0","0","","v South Africa","Port of Spain","14 May 2005"
"12","-","-","1","0","","v South Africa","Port of Spain","15 May 2005"
"0","-","-","2","0","","v Australia","Melbourne (Docklands)","5 Oct 2005"
"5","-","-","0","0","","v Australia","Melbourne (Docklands)","7 Oct 2005"
"0","-","-","1","0","","v Australia","Melbourne (Docklands)","9 Oct 2005"
"40*","-","-","0","0","","v Zimbabwe","St John's","29 Apr 2006"
"5","-","-","0","0","","v Zimbabwe","St John's","30 Apr 2006"
"56","-","-","0","0","","v Zimbabwe","Georgetown","7 May 2006"
"DNB","-","-","1","0","","v Zimbabwe","Gros Islet","10 May 2006"
"2","-","-","0","0","","v Zimbabwe","Port of Spain","13 May 2006"
"40","-","-","0","0","","v Zimbabwe","Port of Spain","14 May 2006"
"35","-","-","0","0","","v India","Kingston","18 May 2006"
"14","-","-","0","0","","v India","Kingston","20 May 2006"
"5","-","-","1","0","","v India","Basseterre","23 May 2006"
"69","-","-","0","0","","v India","Port of Spain","26 May 2006"
"36","-","-","0","0","","v India","Port of Spain","28 May 2006"
"1","-","-","1","0","","v Australia","Kuala Lumpur","12 Sep 2006"
"27*","-","-","0","0","","v India","Kuala Lumpur","14 Sep 2006"
"87","-","-","1","0","","v Australia","Kuala Lumpur","18 Sep 2006"
"40*","-","-","0","0","","v India","Kuala Lumpur","20 Sep 2006"
"5","-","-","0","0","","v Australia","Kuala Lumpur","24 Sep 2006"
"24*","-","-","0","0","","v Zimbabwe","Ahmedabad","8 Oct 2006"
"DNB","-","-","0","0","","v Bangladesh","Jaipur","11 Oct 2006"
"13","-","-","0","0","","v Sri Lanka","Mumbai (BS)","14 Oct 2006"
"71","-","-","0","0","","v Australia","Mumbai (BS)","18 Oct 2006"
"5","-","-","0","0","","v India","Ahmedabad","26 Oct 2006"
"3","-","-","0","0","","v England","Ahmedabad","28 Oct 2006"
